ASV_1,ASV_2,correlation,pvalue
7281c911136ba2bdcafebb9c71729dea,916d15ab17794198ea4c5ad1e3fb6258,0.7211,0.0
a82691ab5fd4e8d3d3b23b7958c8e764,0ef7e12e6eb35a8fd9fac7badac0c381,-0.7206,0.0
499a635c6e7dcd5c8ef518302aa50011,916d15ab17794198ea4c5ad1e3fb6258,-0.7203,0.0
af9554a6cc07a34c1cb6004e3dbb865a,e1c573f885ed4c9191a32116f583d78a,-0.7198,0.0
9feda0d620fa50b57ce3f848e1b48975,945e47119242497c2e0bc5b3c6b6ba8e,-0.7198,0.0
916d15ab17794198ea4c5ad1e3fb6258,1cbf580d763d0eb5497ff2d6468e7668,0.7198,0.0
945e47119242497c2e0bc5b3c6b6ba8e,6aa300d5323cbf75dc53cec3e6acb87c,-0.7192,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,945e47119242497c2e0bc5b3c6b6ba8e,0.719,0.0
7281c911136ba2bdcafebb9c71729dea,dd07e924156039f8e953d5ea58ab5023,0.7184,0.0
7281c911136ba2bdcafebb9c71729dea,3e524f0bf09623c8530930bb8b27045c,0.7181,0.0
179e72f0ecdfeb920df685432f3f2d1a,430c875622713c0d7662add2d8e7db60,0.7179,0.0
0709277372b3816e3986842fb10c8e96,e79a45f432d0ccc86adbf9bbe7cef2a7,0.7178,0.0
d98dabbea4fe10de13ec5310782324e8,da47a34fd036b068ca0c5eaf185e2082,-0.7175,0.0
35dbde30af820a2c3bcd85216229ad6a,213ec0ef843de45b3db9302876229bed,0.7169,0.0
0fec351445f84bd482075ceda6123f46,ff6f97ce50ea01298f8e58b53b97d489,-0.7166,0.0
0f4c04cefd226f6854ad0fbc2a2de226,206069e5a5041e6c7f39a4141aefdc19,-0.7163,0.0
a061d8883eca2028db1d268500722130,d863bc6a2fa6a8a93787e45a6abe3304,-0.7159,0.0
e6485d233ed2b8b9a2f3f50f0747b9d2,5837405da6036e7481240160de143774,0.7158,0.0
0fec351445f84bd482075ceda6123f46,7281c911136ba2bdcafebb9c71729dea,0.7158,0.01
9feda0d620fa50b57ce3f848e1b48975,6e21064675bd1626771d39886cc9d88b,-0.7155,0.0
0fec351445f84bd482075ceda6123f46,09383f3babfd32418e7ba07634680e12,-0.7154,0.0
7281c911136ba2bdcafebb9c71729dea,daac17ca54538cbc9aada8497262da96,0.7154,0.0
3e7c933c821c9f18e53e1dda439951cf,945e47119242497c2e0bc5b3c6b6ba8e,0.7151,0.0
35dbde30af820a2c3bcd85216229ad6a,6e21064675bd1626771d39886cc9d88b,-0.7147,0.0
0f4c04cefd226f6854ad0fbc2a2de226,0ef7e12e6eb35a8fd9fac7badac0c381,-0.7145,0.0
4bea53b2aad77f2569a0182f6b84255e,09383f3babfd32418e7ba07634680e12,0.7143,0.0
a402fc6f0fd057decbe746f48bf12862,ff6f97ce50ea01298f8e58b53b97d489,-0.7143,0.01
945e47119242497c2e0bc5b3c6b6ba8e,4c7b0d554a1103b7872deded4bccb4ea,-0.7143,0.0
1f4fb4bfdca6c9d13106ed533362a62e,779e393e6ff91129f826c691a0d16db3,0.7143,0.0
817555c3b5d93664c38e8fbec64eba2e,765b69d9c4313cc8630769db523cc54c,-0.714,0.0
6aa300d5323cbf75dc53cec3e6acb87c,de329304e57f0e32da3a08e64625a2e1,0.7138,0.0
09ee5eb3e6c726c7c8242f6e97453fc2,63f37ee4b481fccdffca10160ed5b944,0.7137,0.0
179e72f0ecdfeb920df685432f3f2d1a,e1c573f885ed4c9191a32116f583d78a,0.7135,0.0
e1c573f885ed4c9191a32116f583d78a,daac17ca54538cbc9aada8497262da96,-0.7126,0.0
b3d8bf326297fb9b18ea4fef1ce8d4a6,1f4fb4bfdca6c9d13106ed533362a62e,-0.7116,0.0
35dbde30af820a2c3bcd85216229ad6a,85b80813a3be5e162f462e085b709b85,-0.7112,0.0
25c54c57b4a4283237b33fdae82003c0,a43c475502b54cdee1385dcca3109bfe,0.7101,0.01
4b50be28c2cc7c6a4dbc6300155c5218,e144d237c973d831d708cac2c17df968,0.7101,0.0
7281c911136ba2bdcafebb9c71729dea,472fdc0687378563f0c9da6da7638e1a,-0.7095,0.0
19463e5fe824700110e4a4ec8afe0512,3e524f0bf09623c8530930bb8b27045c,0.7095,0.0
7281c911136ba2bdcafebb9c71729dea,179e72f0ecdfeb920df685432f3f2d1a,-0.7094,0.0
15c0fe41b25c6504b8dbe48ae72283d0,a82691ab5fd4e8d3d3b23b7958c8e764,-0.709,0.0
430c875622713c0d7662add2d8e7db60,1ad05a58bf23396d80f11695ad750b75,-0.7087,0.0
7281c911136ba2bdcafebb9c71729dea,4c7b0d554a1103b7872deded4bccb4ea,-0.7085,0.0
5631fe818e588992529f6071afc9cda5,25c54c57b4a4283237b33fdae82003c0,0.7083,0.0
9feda0d620fa50b57ce3f848e1b48975,916d15ab17794198ea4c5ad1e3fb6258,-0.7079,0.0
25c54c57b4a4283237b33fdae82003c0,a039c1ac15b3f4bc5cf1db8a5f1cc0fd,0.7077,0.0
3e524f0bf09623c8530930bb8b27045c,6aa300d5323cbf75dc53cec3e6acb87c,-0.7076,0.0
472fdc0687378563f0c9da6da7638e1a,a43c475502b54cdee1385dcca3109bfe,0.7073,0.0
b4eac52cfa36ce63f24be2fc530ad204,793ecb5ed65cd96425a35698e8ab9e78,-0.7064,0.0
