Node,Phylum,Domain,Relative_abundance,Role,Module
Oscillibacter.2,Firmicutes,Bacteria,0.2975,,5
Pelotomaculum.3,Firmicutes,Bacteria,0.09,,6
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,Proteobacteria,Bacteria,0.0031,,10
Gordonia.1,Actinobacteriota,Bacteria,0.1612,,9
midas_g_103381.1,Firmicutes,Bacteria,0.0068,,4
LNR_A2-18.2,Cloacimonadota,Bacteria,0.7894,,1
LNR_A2-18.1,Cloacimonadota,Bacteria,0.8321,,1
Christensenellaceae_R-7_group.56,Firmicutes,Bacteria,0.0168,,1
Acetomicrobium.1,Synergistota,Bacteria,0.0011,,10
Christensenellaceae_R-7_group.61,Firmicutes,Bacteria,0.056,,4
midas_g_2424.1,Firmicutes,Bacteria,0.1034,,10
Bacteria (unclassified).33,Bacteria (unclassified),Bacteria,0.0166,,2
Anaerovorax.14,Firmicutes,Bacteria,0.0194,,2
Proteiniphilum.2,Bacteroidota,Bacteria,0.2396,,1
Desulfitibacter.9,Firmicutes,Bacteria,0.0186,,5
Stenotrophomonas.1,Proteobacteria,Bacteria,0.5512,,4
Bosea.5,Proteobacteria,Bacteria,0.0136,,6
Ercella.2,Firmicutes,Bacteria,0.1088,,5
midas_g_98124.1,Firmicutes,Bacteria,0.2545,,4
Ercella.6,Firmicutes,Bacteria,0.014,,10
midas_g_51070.3,Firmicutes,Bacteria,0.0224,,10
midas_g_119665.1,Firmicutes,Bacteria,0.0108,,6
Devosia.2,Proteobacteria,Bacteria,0.1167,,6
Sedimentibacter.18,Firmicutes,Bacteria,0.0155,,6
Paracoccus.4,Proteobacteria,Bacteria,0.0796,,1
Comamonadaceae.2,Proteobacteria,Bacteria,0.1034,,5
Comamonadaceae.1,Proteobacteria,Bacteria,0.2542,,5
Syntrophomonas.28,Firmicutes,Bacteria,0.0611,,1
Sedimentibacter.11,Firmicutes,Bacteria,0.0442,,9
Sedimentibacter.8,Firmicutes,Bacteria,0.0353,,9
Hungateiclostridiaceae.27,Firmicutes,Bacteria,0.0177,,9
midas_g_112829.1,Firmicutes,Bacteria,0.0065,,6
Ruminococcaceae.9,Firmicutes,Bacteria,0.0128,,10
Pseudomonas.10,Proteobacteria,Bacteria,0.0953,,6
Ruminiclostridium.1,Firmicutes,Bacteria,0.2692,,5
Proteiniphilum.13,Bacteroidota,Bacteria,0.0162,,10
Stenotrophomonas.2,Proteobacteria,Bacteria,0.1197,,2
Peptococcaceae.4,Firmicutes,Bacteria,0.0032,,6
NK4A214_group.3,Firmicutes,Bacteria,0.0007,,4
Methanobacterium.3,Euryarchaeota,Archaea,2.4544,,9
midas_g_6187.2,Armatimonadota,Bacteria,0.0636,,5
Lachnoclostridium.9,Firmicutes,Bacteria,0.0443,,5
Comamonadaceae.18,Proteobacteria,Bacteria,0.0506,,1
midas_g_93128.1,Firmicutes,Bacteria,0.0177,,5
midas_g_110651.1,Firmicutes,Bacteria,0.0079,,10
Proteiniphilum.6,Bacteroidota,Bacteria,0.0823,,1
Methanobacterium.61,Euryarchaeota,Archaea,0.0277,,5
Hydrogenophaga.1,Proteobacteria,Bacteria,0.2523,,-1
Ruminiclostridium.2,Firmicutes,Bacteria,0.0361,,4
Propionicicella.1,Actinobacteriota,Bacteria,0.1413,,7
Methanobacterium.6,Euryarchaeota,Archaea,9.6546,,10
Methanobacteriaceae.1,Euryarchaeota,Archaea,25.8604,,5
Achromobacter.1,Proteobacteria,Bacteria,0.2934,,0
Sporanaerobacter.1,Firmicutes,Bacteria,0.0988,,4
Pseudomonas.1,Proteobacteria,Bacteria,0.1148,,4
midas_g_669.3,Firmicutes,Bacteria,0.0549,,1
Christensenellaceae_R-7_group.65,Firmicutes,Bacteria,0.0553,,4
Stenotrophomonas.3,Proteobacteria,Bacteria,0.0622,,0
Achromobacter.2,Proteobacteria,Bacteria,0.2856,,0
Xanthobacter.1,Proteobacteria,Bacteria,0.1206,,10
Papillibacter.1,Firmicutes,Bacteria,0.0621,,-1
Ca_Soleaferrea.2,Firmicutes,Bacteria,0.0329,,4
Enterobacteriaceae.1,Proteobacteria,Bacteria,7.0032,,9
Christensenellaceae_R-7_group.87,Firmicutes,Bacteria,0.0138,,8
Veillonellales-Selenomonadales.5,Firmicutes,Bacteria,0.0707,,7
Microvirga.1,Proteobacteria,Bacteria,0.0274,,10
Stenotrophomonas.4,Proteobacteria,Bacteria,0.0975,,10
Fastidiosipila.2,Firmicutes,Bacteria,0.0083,,8
midas_g_98017.2,Firmicutes,Bacteria,0.0236,,4
Erysipelothrix.1,Firmicutes,Bacteria,0.7375,,3
Bacteroides.1,Bacteroidota,Bacteria,0.632,,3
Christensenellaceae_R-7_group.29,Firmicutes,Bacteria,0.0803,,-1
Acetoanaerobium.1,Firmicutes,Bacteria,0.7196,,5
