seq,sample,rel_ab,Kingdom,Phylum,Class,Order,Family,Genus,Species,date,media,timepoint,notes
d3cf08daefed96f494257ceff63a6cf8,Qa,3.18213449737458,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,315,
37a9f9625f201b6e61c29ac09ec54683,5-10,0.0,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,DSMZ v1: Using DSMZ 120 without NaHCO3,0,"Innoculum, from 2023 MBfR"
37a9f9625f201b6e61c29ac09ec54683,H,0.925334921319788,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v1: put in modified wolfe + EDTA ,140,"98% methane, modified wolfe + EDTA , best performance before adding KILLER media"
37a9f9625f201b6e61c29ac09ec54683,Ha,2.86862137017198,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,147,
37a9f9625f201b6e61c29ac09ec54683,I,1.15815342164545,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,149,"butyrate production in reactor, major failure in CH4 production (10%)"
37a9f9625f201b6e61c29ac09ec54683,Ia,0.7973201184906291,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,153,
37a9f9625f201b6e61c29ac09ec54683,J,1.41623167316689,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,161,"recovery, 93% ch4, extracted for analysis on recovery"
37a9f9625f201b6e61c29ac09ec54683,Ja,3.50926184492227,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,168,
37a9f9625f201b6e61c29ac09ec54683,Jb,2.52237950346166,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,174,
37a9f9625f201b6e61c29ac09ec54683,K,0.9916417179552821,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,182,1 week before transitioning to biofilm-only sampling
37a9f9625f201b6e61c29ac09ec54683,L,1.1825151506515,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,189,"first biofilm-only sample, first direct biofilm sample"
37a9f9625f201b6e61c29ac09ec54683,M,1.59387480460114,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,210,extracted because there was good time spacing between this and other samples
37a9f9625f201b6e61c29ac09ec54683,N,1.51530134428461,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,238,"fluffy biofilm, mostly located on underside of membranes"
37a9f9625f201b6e61c29ac09ec54683,Na,1.50401171481741,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,262,
37a9f9625f201b6e61c29ac09ec54683,P,1.56740804539467,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,283,"very large biofilm growth between this and 1/7/25 sampling date, represents doubling of feed rate"
37a9f9625f201b6e61c29ac09ec54683,Q,1.59256242451479,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,300,
37a9f9625f201b6e61c29ac09ec54683,Qa,2.29012462832922,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,315,
04869be25e3dc4d526ce3824d407aedf,5-10,0.24646943805498703,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminivibrio,Aminivibrio_pyruvatiphilus,,DSMZ v1: Using DSMZ 120 without NaHCO3,0,"Innoculum, from 2023 MBfR"
04869be25e3dc4d526ce3824d407aedf,H,3.54943499299313,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminivibrio,Aminivibrio_pyruvatiphilus,,Wolfe v1: put in modified wolfe + EDTA ,140,"98% methane, modified wolfe + EDTA , best performance before adding KILLER media"
04869be25e3dc4d526ce3824d407aedf,Ha,3.5029602480969797,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminivibrio,Aminivibrio_pyruvatiphilus,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,147,
