seq,10AB,A34,B34,C3,D34,E34,F34,G12,G3,H34,I34,J12,J34,K12,L12,M12,N12,P12,Q
8bbcf048be9561d00c6ed8f597643925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011430166,0,0
92fb114641e27921122496428e2ef0dd,0.0013241,0,0,0,0,0,0,0,0,0,0,0.000844875,0,0,0,0,0,0,0
9d4eef533118fb8ade7389906d38038e,0.00317784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b847baea94497568fe03f94a68afb3c,0.020126319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bb602f161cd434e740b0b0694a2fe7e,0.014565099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9fcc0c91f09380ac0d5250172f8294b1,0.00291302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7741e484f93c21c4e051f33fc7b64f88,0.00820942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41c2b1997c23cb128c7a5fe3586fe2cd,0.00238338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1919f68c3e5bd0c8c85ce6c4a407a81,0.00291302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61b47b9e51cba36e07b09f783d91532d,0.018537399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eade9ffca2019fd37ceeefa62349cee5,0.0079446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ea5eeef4adcd29b79e56e455f9025517,0.133204454,0,0.001741914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28a57cdaa30629405422c8fde4881357,0.013770639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f438bcb87bf9d011daee383cbf8268b,0.030719119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092628b1364caea9caa8bb32e494b85,0.0079446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89da33616fecea01a2dd1f560e309cd0,0.00767978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2da3ff46bfa58a914368731cfd699785,0.163923573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87ca798d18d4f98d6e899ac8e8b8daa2,0.00052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8489763884add5fd5b86c463d80a278d,0.00052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39514d7e0d952fb5735d67b878688bc8,0.083947936,0,0.002612871,0,0.001416921,0.001063266,0,0,0,0,0,0,0,0,0,0,0,0,0
342c9bed5ce5e945deb98ec33fe023b6,0,0,0,0,0,0,0.000843606,0,0,0,0,0,0,0,0,0,0,0,0
ed129574cd3b032d712d56b5aae6be05,0.0026482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230f936bbde428b48c67b563c84f874a,0.016948479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cae75e1117d316c3a8f12909f766135b,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010452365,0,0.007483169,0.01201136,0.013282333,0.021023259
60d23b6a7047719eb79dc09d360c62cc,0.015094739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31d88ad972b0a11f159439daf1fe7367,0.00291302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6148c6e49d72c0f24a187a979ba7a5aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076502416,0.032624991,0.028242928,0.012786287,0.013440456,0
44f513ba8d222b088ba2ad6e7ab85b8c,0,0,0,0,0,0,0,0.002797739,0,0.006769154,0.009151692,0.029007384,0.014295794,0.058711157,0.038580347,0.034277741,0.01917943,0.008222397,0
ddfc7fa44eb695c1a36fab946176dbdc,0.012711359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227b3993622857f90f1b3be1adaf17cd,0.00238338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8298bcdb584afbb1bdb72e7abb796243,0.00052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c141cc6426851c4478ff79ed68247f5,0.00211856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
