"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"48583aa878619934f2f6d8583cccae68",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148824602289999,0,0
"ec930edee7601930af4fe5bc8a825b5e",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00474972134968082,0,0
"270c5d9a2223e0f5d99547e426bc19e4",0,0,0,0,0,0,0,0,0,0,0,0.0174506872662335,0,0.0240652548383828,0,0
"64c88f89738e90b17e368e96690366e4",0,0,0,0,0,0,0,0,0,0,0.00797299811305711,0.00814365405757563,0,0,0,0
"a049ac86c03db7991ef693a1bb025681",0,0,0,0,0,0,0,0,0,0,0.0113554821610207,0,0,0,0,0
"2ec1f8eb34a2ea797a6cbbdfb17fbfd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052246934846489,0,0
"0fec351445f84bd482075ceda6123f46",0,30.0992372672845,28.7214547504934,27.733166625349,16.7741756872733,12.7951540173095,18.9611840268082,6.75133395069895,6.59113421108279,8.99426620063893,35.2061020012225,31.8285024014085,40.9255926050215,43.3511817306718,49.7486166896048,45.26791927627
"cd96087cce58c3b896ec66b5e7a1f2a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178906170837978,0,0
"c1795fae23a34030462cf6e6267b85b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.017573968993819,0,0
"a214ccee6e9a8749c048daa053ae51dc",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169406728138616,0,0
"0365031a4356178723a3927885c61cb8",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316648089978721,0,0
"e04d49b3a01d91878d1c27f4e22b074e",0,0,0,0,0,0,0,0,0,0,0,0.0219103073453821,0,0,0,0
"5c52186b7c44d5709af099adc5dea216",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204238018036275,0,0
"7c6299b064794dfea9e563a4645d1bbf",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104493869692978,0,0
"be017454a0758945d4ec45fbf9ac6f48",0,0,0,0,0,0,0,0,0,0,0,0.0056229992302308,0,0,0,0
"9c5d06d8052c8516716b8a63b7498d97",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00364145303475529,0,0
"50f6937d35cf193c1881b6fb7c273225",0,0,0,0,0,0,0,0,0,0,0.0113554821610207,0,0,0.0139325159590637,0,0
"c2ce31d453f856c02c1925a535ca7d46",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649128584456379,0,0
"534d7b1bce2cf035866320576094f81e",0,0,0,0,0,0,0,0,0,0,0.017637238250096,0.0211347212446606,0,0.0227986624784679,0,0
"b513381a51c3d1b0d7e568a804954430",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172573209038403,0,0
"6fc9eb297f26be9914cfbb2e96bbc086",0,0,0,0,0,0,0,0,0,0,0,0.0137666532878064,0,0,0,0
"5b02c8639023ea8693ddee6bf1597c70",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123492755091701,0,0
"3ab03e560dde34c45b0a4e71c809c190",0,0,0,0,0,0,0,0,0,0,0,0,0,0.011874303374202,0,0
"c9b1d29de9ba6aaa6bd23b386b8c8331",0,0,0,0,0,0.00423008265581509,0,0,0,0,0,0,0,0,0,0
