ec716420b2bb28ff5cfc5b19edbe2dfa	30	25	0	6	0	15	88	9	74	34	6	0	0
21ceeb224e15175f0c85797abce40d0a	30	22	16	3	11	6	89	23	62	48	18	12	0
8b35589e4e1ef82328d78d533f5fa1a1	2	8	0	2	0	0	3	4	6	0	2	0	0
8466f2635d9fbf9c51a04877474f3d09	7	5	4	15	0	0	2	0	0	0	0	0	0
f816f5de71e4c19785cd5dfa8ee073db	1	2	0	1	0	4	6	4	6	0	0	0	0
acfe0924c0f9c6ca3720854b5b458d54	12	13	0	1	0	1	20	1	17	12	5	6	0
20823322077cf511c8eff4f0840466fd	0	5	8	0	0	3	44	6	4	0	9	0	0
ef7c28bb28866912b76003ee110bdf6b	0	0	0	0	0	0	0	1	5	0	3	0	4
d863bc6a2fa6a8a93787e45a6abe3304	13	5	0	12	31	65	169	67	12	0	11	7	0
41f01f3e3cbf6beb908ae1ebb553208e	0	0	0	3	0	3	10	0	12	31	0	0	0
573471302da724edb5d0fa958385fb6d	2	4	0	2	0	0	0	0	0	0	0	0	0
717e65e6ba1d91587e9c1fc36b2b0c44	0	4	0	4	0	6	0	0	0	0	0	0	0
645dd8b575c7e7c0952933bbe90b4bb9	0	0	0	0	35	0	2	0	1	0	0	0	0
94ef08db649a5339b6de95109a8bad0f	5	12	0	1	0	0	0	0	0	0	0	0	0
1ad05a58bf23396d80f11695ad750b75	9	15	30	10	7	2	7	1	21	51	38	19	42
15c0fe41b25c6504b8dbe48ae72283d0	0	0	0	7	0	1	3	4	40	40	34	11	11
a19152d55f42fc72a3a0f985d2615aab	45	41	86	10	0	0	0	0	0	0	0	0	0
d801b2110a503327da848c95357ca4a5	29	13	45	6	0	0	0	0	0	0	0	0	0
9e54e8d50785a84f97b38e3eb665dda0	1	2	2	0	0	0	3	1	2	0	1	0	0
2c452b25c7f3c62be462d8f47ed179e3	29	37	47	27	3	0	5	3	1	9	15	18	4
923e86a70ad8194f9dab67ab8397371f	0	0	0	1	0	1	1	2	0	0	0	0	0
134153c893d92731f1779897c269f055	0	0	0	0	4	0	2	0	0	2	0	0	0
8ebc39e79a930b5db089420489c40543	0	0	8	2	48	8	9	2	13	64	28	4	17
fc7dec198c007a0622c9acba71b1edb1	0	5	0	0	0	1	1	5	12	0	36	0	0
d3cf08daefed96f494257ceff63a6cf8	765	760	1146	715	753	172	110	220	326	451	462	696	1006
7a7c96429cd038c333985399c9eb963c	24	11	13	6	0	1	1	2	0	0	0	0	0
04869be25e3dc4d526ce3824d407aedf	1119	913	1444	989	1164	456	697	960	812	360	392	499	412
522fc29c9966a380a17ce86687cc600b	8	2	0	4	0	0	2	4	1	0	1	0	0
e29f9ab1342fe7d53d4f1e2d03bb5969	174	111	75	39	29	23	39	48	49	37	40	56	0
a5b2537343a26f4daf0379a8b46eb2ef	271	221	174	97	89	58	80	155	140	74	78	93	100
